[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Run ParseTemplate Behavior [ RunTime:0.069703s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.069979s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Run ContentReplace Behavior [ RunTime:0.008949s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Run TokenBuild Behavior [ RunTime:0.007299s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.008718s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Run ShowRuntime Behavior [ RunTime:0.006682s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.032392s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Tag[ view_template ] --START--
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Run LocationTemplate Behavior [ RunTime:0.005297s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.102901s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Run ParseTemplate Behavior [ RunTime:0.016873s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.038380s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Run ContentReplace Behavior [ RunTime:0.000242s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Run TokenBuild Behavior [ RunTime:0.000243s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000055s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000273s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.023065s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Tag[ view_end ] --START--
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.006806s ]
[ 2014-03-21T10:39:56+08:00 ] /tp_test/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.007037s ]
