[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000528s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000599s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Run ParseTemplate Behavior [ RunTime:0.006252s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006348s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Run ContentReplace Behavior [ RunTime:0.000363s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Run TokenBuild Behavior [ RunTime:0.000422s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000363s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000465s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001837s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Tag[ view_template ] --START--
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000130s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.008431s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Run ParseTemplate Behavior [ RunTime:0.002792s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.002282s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Run ContentReplace Behavior [ RunTime:0.000101s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Run TokenBuild Behavior [ RunTime:0.000101s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000018s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000130s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.003300s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Tag[ view_end ] --START--
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000425s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000490s ]
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Tag[ app_begin ] --START--
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000547s ]
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000639s ]
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | NOTIC: [2] mysql_select_db() expects parameter 2 to be resource, boolean given SessionDb.class.php 第 61 行.
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | NOTIC: [2] mysql_query() expects parameter 2 to be resource, null given SessionDb.class.php 第 91 行.
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Tag[ view_template ] --START--
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Run LocationTemplate Behavior [ RunTime:0.001194s ]
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Tag[ view_template ] --END-- [ RunTime:0.001383s ]
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Tag[ view_parse ] --START--
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Run ParseTemplate Behavior [ RunTime:0.150848s ]
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Tag[ view_parse ] --END-- [ RunTime:0.150991s ]
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Tag[ view_filter ] --START--
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Run ContentReplace Behavior [ RunTime:0.000836s ]
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Run TokenBuild Behavior [ RunTime:0.000868s ]
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000592s ]
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Run ShowRuntime Behavior [ RunTime:0.000696s ]
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003368s ]
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Tag[ view_end ] --START--
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Run ShowPageTrace Behavior [ RunTime:0.000651s ]
[ 2014-03-22T00:07:31+08:00 ] /music/Index.php?m=Index&a=tuijian | INFO: Tag[ view_end ] --END-- [ RunTime:0.000753s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Tag[ app_begin ] --START--
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002217s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.015310s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-03-22T20:57:23+08:00 ] /music/ | NOTIC: [2] mysql_select_db() expects parameter 2 to be resource, boolean given SessionDb.class.php 第 61 行.
[ 2014-03-22T20:57:23+08:00 ] /music/ | NOTIC: [2] mysql_query() expects parameter 2 to be resource, null given SessionDb.class.php 第 91 行.
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Tag[ view_template ] --START--
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Run LocationTemplate Behavior [ RunTime:0.016442s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.016661s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Run ParseTemplate Behavior [ RunTime:0.038618s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.038816s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Run ContentReplace Behavior [ RunTime:0.001218s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Run TokenBuild Behavior [ RunTime:0.001382s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001035s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001542s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005681s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Tag[ view_template ] --START--
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000736s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.045155s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Run ParseTemplate Behavior [ RunTime:0.007313s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.007308s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Run ContentReplace Behavior [ RunTime:0.000247s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Run TokenBuild Behavior [ RunTime:0.000254s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000048s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000322s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.009204s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Tag[ view_end ] --START--
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001103s ]
[ 2014-03-22T20:57:23+08:00 ] /music/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001232s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Tag[ app_begin ] --START--
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000760s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000861s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-03-22T21:01:58+08:00 ] /music/ | NOTIC: [2] mysql_select_db() expects parameter 2 to be resource, boolean given SessionDb.class.php 第 61 行.
[ 2014-03-22T21:01:58+08:00 ] /music/ | NOTIC: [2] mysql_query() expects parameter 2 to be resource, null given SessionDb.class.php 第 91 行.
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Tag[ view_template ] --START--
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000940s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001028s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Run ParseTemplate Behavior [ RunTime:0.006836s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006929s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Run ContentReplace Behavior [ RunTime:0.000403s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Run TokenBuild Behavior [ RunTime:0.000416s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000263s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000492s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001798s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Tag[ view_template ] --START--
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000140s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.008978s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Run ParseTemplate Behavior [ RunTime:0.002804s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.002234s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Run ContentReplace Behavior [ RunTime:0.000106s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Run TokenBuild Behavior [ RunTime:0.000107s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000018s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000135s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.003329s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Tag[ view_end ] --START--
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000463s ]
[ 2014-03-22T21:01:58+08:00 ] /music/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000530s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Tag[ app_begin ] --START--
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000549s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000645s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-03-22T21:29:09+08:00 ] /music/ | NOTIC: [2] mysql_select_db() expects parameter 2 to be resource, boolean given SessionDb.class.php 第 61 行.
[ 2014-03-22T21:29:09+08:00 ] /music/ | NOTIC: [2] mysql_query() expects parameter 2 to be resource, null given SessionDb.class.php 第 91 行.
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Tag[ view_template ] --START--
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000568s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000647s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Run ParseTemplate Behavior [ RunTime:0.006959s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007046s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Run ContentReplace Behavior [ RunTime:0.000387s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Run TokenBuild Behavior [ RunTime:0.000396s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000255s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000477s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001711s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Tag[ view_template ] --START--
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000135s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.009013s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Run ParseTemplate Behavior [ RunTime:0.002690s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.002163s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Run ContentReplace Behavior [ RunTime:0.000103s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Run TokenBuild Behavior [ RunTime:0.000103s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000018s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000133s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.003188s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Tag[ view_end ] --START--
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000430s ]
[ 2014-03-22T21:29:09+08:00 ] /music/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000497s ]
[ 2014-03-22T21:29:23+08:00 ] /music/ | INFO: Tag[ app_begin ] --START--
[ 2014-03-22T21:29:23+08:00 ] /music/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000849s ]
[ 2014-03-22T21:29:23+08:00 ] /music/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000986s ]
[ 2014-03-22T21:29:23+08:00 ] /music/ | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-03-22T21:29:23+08:00 ] /music/ | NOTIC: [2] mysql_select_db() expects parameter 2 to be resource, boolean given SessionDb.class.php 第 61 行.
[ 2014-03-22T21:29:23+08:00 ] /music/ | NOTIC: [2] mysql_query() expects parameter 2 to be resource, null given SessionDb.class.php 第 91 行.
[ 2014-03-22T21:29:23+08:00 ] /music/ | INFO: Tag[ view_template ] --START--
[ 2014-03-22T21:29:23+08:00 ] /music/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000584s ]
[ 2014-03-22T21:29:23+08:00 ] /music/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000664s ]
[ 2014-03-22T21:29:23+08:00 ] /music/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-22T21:29:23+08:00 ] /music/ | INFO: Run ParseTemplate Behavior [ RunTime:0.006170s ]
