[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | NOTIC: [2] mysql_select_db() expects parameter 2 to be resource, boolean given SessionDb.class.php 第 61 行.
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | NOTIC: [2] mysql_query() expects parameter 2 to be resource, null given SessionDb.class.php 第 91 行.
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ view_template ] --START--
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Run LocationTemplate Behavior [ RunTime:0.001112s ]
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ view_template ] --END-- [ RunTime:0.001546s ]
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ view_parse ] --START--
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Run ParseTemplate Behavior [ RunTime:0.012356s ]
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012572s ]
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ view_filter ] --START--
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Run ContentReplace Behavior [ RunTime:0.000718s ]
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Run TokenBuild Behavior [ RunTime:0.000849s ]
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000486s ]
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Run ShowRuntime Behavior [ RunTime:0.001234s ]
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003810s ]
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ view_end ] --START--
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Run ShowPageTrace Behavior [ RunTime:0.001521s ]
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ view_end ] --END-- [ RunTime:0.001822s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Tag[ app_begin ] --START--
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001615s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001772s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | NOTIC: [2] mysql_select_db() expects parameter 2 to be resource, boolean given SessionDb.class.php 第 61 行.
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | NOTIC: [2] mysql_query() expects parameter 2 to be resource, null given SessionDb.class.php 第 91 行.
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Tag[ view_template ] --START--
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001050s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001173s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Tag[ view_parse ] --START--
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Run ParseTemplate Behavior [ RunTime:0.011409s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011547s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Tag[ view_filter ] --START--
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Run ContentReplace Behavior [ RunTime:0.000692s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Run TokenBuild Behavior [ RunTime:0.000670s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000453s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000819s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002960s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Tag[ view_template ] --START--
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000247s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.014868s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Tag[ view_parse ] --START--
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Run ParseTemplate Behavior [ RunTime:0.004209s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.003695s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Tag[ view_filter ] --START--
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Run ContentReplace Behavior [ RunTime:0.000150s ]
[ 2014-04-21T11:19:01+08:00 ] /xydj/ | INFO: Run TokenBuild Behavior [ RunTime:0.000158s ]
